//Exported ASCII-File
[Header]
FileName = D:\User\DDBB\Lasse\20251010\LysozymeC and PEG8K standard curve remaining samples.wip
GraphName = Spectrum--062--Spec.Data 1 MQ 10mW
SizeX = 1
SizeY = 1
SizeGraph = 2000
PositionUnit = µm
PositionX = 1654.325
PositionY = -1835.7
PositionZ = 0
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	Spectrum--062--Spec.Data 1 MQ 10mW
rel. 1/cm	CCD cts
 2.06675E+02	 9.09000E+02
 2.09367E+02	 8.84000E+02
 2.12057E+02	 9.04000E+02
 2.14746E+02	 8.78000E+02
 2.17435E+02	 8.76000E+02
 2.20122E+02	 8.73000E+02
 2.22809E+02	 8.62000E+02
 2.25495E+02	 8.19000E+02
 2.28180E+02	 8.61000E+02
 2.30864E+02	 8.37000E+02
 2.33547E+02	 8.41000E+02
 2.36229E+02	 8.35000E+02
 2.38910E+02	 8.28000E+02
 2.41591E+02	 8.28000E+02
 2.44271E+02	 8.36000E+02
 2.46949E+02	 8.01000E+02
 2.49627E+02	 8.03000E+02
 2.52304E+02	 8.05000E+02
 2.54981E+02	 8.13000E+02
 2.57656E+02	 7.68000E+02
 2.60330E+02	 7.80000E+02
 2.63004E+02	 7.73000E+02
 2.65677E+02	 7.66000E+02
 2.68348E+02	 7.70000E+02
 2.71019E+02	 7.98000E+02
 2.73689E+02	 7.69000E+02
 2.76359E+02	 7.71000E+02
 2.79027E+02	 7.64000E+02
 2.81695E+02	 7.69000E+02
 2.84361E+02	 7.48000E+02
 2.87027E+02	 7.83000E+02
 2.89692E+02	 7.49000E+02
 2.92356E+02	 7.70000E+02
 2.95019E+02	 7.31000E+02
 2.97681E+02	 7.39000E+02
 3.00343E+02	 7.60000E+02
 3.03003E+02	 7.41000E+02
 3.05663E+02	 7.37000E+02
 3.08322E+02	 7.35000E+02
 3.10980E+02	 7.45000E+02
 3.13637E+02	 7.42000E+02
 3.16293E+02	 7.61000E+02
 3.18949E+02	 7.42000E+02
 3.21603E+02	 7.14000E+02
 3.24257E+02	 7.50000E+02
 3.26910E+02	 7.23000E+02
 3.29562E+02	 7.41000E+02
 3.32213E+02	 7.49000E+02
 3.34863E+02	 7.46000E+02
 3.37512E+02	 7.33000E+02
 3.40161E+02	 7.22000E+02
 3.42809E+02	 7.41000E+02
 3.45456E+02	 7.51000E+02
 3.48102E+02	 7.27000E+02
 3.50747E+02	 7.32000E+02
 3.53391E+02	 7.25000E+02
 3.56034E+02	 7.45000E+02
 3.58677E+02	 7.32000E+02
 3.61319E+02	 7.25000E+02
 3.63960E+02	 7.39000E+02
 3.66600E+02	 7.43000E+02
 3.69239E+02	 7.48000E+02
 3.71877E+02	 7.35000E+02
 3.74515E+02	 7.41000E+02
 3.77151E+02	 7.43000E+02
 3.79787E+02	 7.15000E+02
 3.82422E+02	 7.37000E+02
 3.85056E+02	 7.19000E+02
 3.87690E+02	 7.25000E+02
 3.90322E+02	 7.37000E+02
 3.92954E+02	 7.32000E+02
 3.95584E+02	 7.50000E+02
 3.98214E+02	 7.35000E+02
 4.00843E+02	 7.18000E+02
 4.03472E+02	 7.20000E+02
 4.06099E+02	 7.33000E+02
 4.08725E+02	 7.35000E+02
 4.11351E+02	 7.34000E+02
 4.13976E+02	 7.22000E+02
 4.16600E+02	 7.24000E+02
 4.19223E+02	 7.66000E+02
 4.21846E+02	 7.32000E+02
 4.24467E+02	 7.58000E+02
 4.27088E+02	 7.34000E+02
 4.29708E+02	 7.47000E+02
 4.32327E+02	 7.49000E+02
 4.34945E+02	 7.46000E+02
 4.37562E+02	 7.49000E+02
 4.40179E+02	 7.43000E+02
 4.42794E+02	 7.37000E+02
 4.45409E+02	 7.29000E+02
 4.48023E+02	 7.46000E+02
 4.50636E+02	 7.28000E+02
 4.53249E+02	 7.31000E+02
 4.55860E+02	 7.40000E+02
 4.58471E+02	 7.59000E+02
 4.61081E+02	 7.22000E+02
 4.63690E+02	 7.37000E+02
 4.66298E+02	 7.28000E+02
 4.68905E+02	 7.41000E+02
 4.71512E+02	 7.42000E+02
 4.74117E+02	 7.22000E+02
 4.76722E+02	 7.29000E+02
 4.79326E+02	 7.41000E+02
 4.81930E+02	 7.53000E+02
 4.84532E+02	 7.32000E+02
 4.87134E+02	 6.99000E+02
 4.89734E+02	 7.67000E+02
 4.92334E+02	 7.48000E+02
 4.94933E+02	 7.16000E+02
 4.97532E+02	 7.32000E+02
 5.00129E+02	 7.44000E+02
 5.02726E+02	 7.33000E+02
 5.05322E+02	 7.14000E+02
 5.07917E+02	 7.28000E+02
 5.10511E+02	 7.28000E+02
 5.13104E+02	 7.15000E+02
 5.15697E+02	 7.32000E+02
 5.18288E+02	 7.45000E+02
 5.20879E+02	 7.13000E+02
 5.23469E+02	 7.07000E+02
 5.26059E+02	 7.43000E+02
 5.28647E+02	 7.06000E+02
 5.31235E+02	 7.25000E+02
 5.33822E+02	 7.31000E+02
 5.36408E+02	 7.34000E+02
 5.38993E+02	 7.31000E+02
 5.41577E+02	 7.47000E+02
 5.44161E+02	 7.05000E+02
 5.46744E+02	 7.33000E+02
 5.49326E+02	 7.47000E+02
 5.51907E+02	 7.24000E+02
 5.54487E+02	 7.55000E+02
 5.57066E+02	 7.44000E+02
 5.59645E+02	 7.43000E+02
 5.62223E+02	 7.60000E+02
 5.64800E+02	 7.40000E+02
 5.67376E+02	 7.10000E+02
 5.69952E+02	 7.54000E+02
 5.72527E+02	 7.30000E+02
 5.75100E+02	 7.46000E+02
 5.77674E+02	 7.42000E+02
 5.80246E+02	 7.42000E+02
 5.82817E+02	 7.43000E+02
 5.85388E+02	 7.23000E+02
 5.87958E+02	 7.34000E+02
 5.90527E+02	 7.27000E+02
 5.93095E+02	 7.37000E+02
 5.95662E+02	 7.28000E+02
 5.98229E+02	 7.40000E+02
 6.00795E+02	 7.29000E+02
 6.03360E+02	 7.09000E+02
 6.05924E+02	 7.31000E+02
 6.08487E+02	 7.16000E+02
 6.11050E+02	 7.02000E+02
 6.13612E+02	 6.93000E+02
 6.16173E+02	 7.09000E+02
 6.18733E+02	 7.27000E+02
 6.21292E+02	 7.05000E+02
 6.23851E+02	 6.90000E+02
 6.26409E+02	 7.10000E+02
 6.28966E+02	 7.23000E+02
 6.31522E+02	 7.01000E+02
 6.34078E+02	 7.05000E+02
 6.36632E+02	 7.00000E+02
 6.39186E+02	 7.13000E+02
 6.41739E+02	 7.10000E+02
 6.44291E+02	 6.99000E+02
 6.46843E+02	 6.83000E+02
 6.49394E+02	 6.97000E+02
 6.51943E+02	 7.11000E+02
 6.54492E+02	 6.90000E+02
 6.57041E+02	 6.85000E+02
 6.59588E+02	 6.88000E+02
 6.62135E+02	 6.95000E+02
 6.64681E+02	 6.87000E+02
 6.67226E+02	 6.76000E+02
 6.69770E+02	 6.96000E+02
 6.72314E+02	 6.85000E+02
 6.74857E+02	 6.78000E+02
 6.77399E+02	 6.71000E+02
 6.79940E+02	 6.91000E+02
 6.82480E+02	 6.85000E+02
 6.85020E+02	 6.96000E+02
 6.87559E+02	 6.79000E+02
 6.90097E+02	 6.81000E+02
 6.92634E+02	 6.93000E+02
 6.95171E+02	 6.62000E+02
 6.97706E+02	 6.75000E+02
 7.00241E+02	 6.67000E+02
 7.02775E+02	 6.49000E+02
 7.05309E+02	 6.64000E+02
 7.07841E+02	 6.72000E+02
 7.10373E+02	 6.75000E+02
 7.12904E+02	 6.69000E+02
 7.15434E+02	 6.80000E+02
 7.17964E+02	 6.99000E+02
 7.20492E+02	 6.79000E+02
 7.23020E+02	 6.72000E+02
 7.25547E+02	 6.65000E+02
 7.28074E+02	 6.71000E+02
 7.30599E+02	 6.66000E+02
 7.33124E+02	 6.52000E+02
 7.35648E+02	 6.74000E+02
 7.38171E+02	 6.66000E+02
 7.40694E+02	 6.65000E+02
 7.43215E+02	 6.74000E+02
 7.45736E+02	 6.73000E+02
 7.48256E+02	 6.76000E+02
 7.50776E+02	 6.83000E+02
 7.53294E+02	 6.66000E+02
 7.55812E+02	 6.86000E+02
 7.58329E+02	 6.85000E+02
 7.60845E+02	 6.85000E+02
 7.63361E+02	 6.71000E+02
 7.65875E+02	 6.59000E+02
 7.68389E+02	 6.66000E+02
 7.70902E+02	 6.85000E+02
 7.73415E+02	 6.86000E+02
 7.75926E+02	 6.78000E+02
 7.78437E+02	 6.84000E+02
 7.80947E+02	 6.66000E+02
 7.83457E+02	 6.82000E+02
 7.85965E+02	 6.64000E+02
 7.88473E+02	 6.82000E+02
 7.90980E+02	 6.96000E+02
 7.93486E+02	 7.03000E+02
 7.95992E+02	 6.79000E+02
 7.98496E+02	 6.71000E+02
 8.01000E+02	 6.92000E+02
 8.03504E+02	 6.77000E+02
 8.06006E+02	 6.87000E+02
 8.08508E+02	 6.83000E+02
 8.11009E+02	 6.71000E+02
 8.13509E+02	 6.75000E+02
 8.16008E+02	 6.71000E+02
 8.18507E+02	 6.77000E+02
 8.21005E+02	 6.82000E+02
 8.23502E+02	 6.62000E+02
 8.25998E+02	 6.73000E+02
 8.28493E+02	 6.72000E+02
 8.30988E+02	 6.42000E+02
 8.33482E+02	 6.66000E+02
 8.35976E+02	 6.59000E+02
 8.38468E+02	 6.64000E+02
 8.40960E+02	 6.66000E+02
 8.43451E+02	 6.51000E+02
 8.45941E+02	 6.45000E+02
 8.48431E+02	 6.69000E+02
 8.50919E+02	 6.77000E+02
 8.53407E+02	 6.37000E+02
 8.55895E+02	 6.46000E+02
 8.58381E+02	 6.31000E+02
 8.60867E+02	 6.43000E+02
 8.63352E+02	 6.29000E+02
 8.65836E+02	 6.39000E+02
 8.68319E+02	 6.43000E+02
 8.70802E+02	 6.32000E+02
 8.73284E+02	 6.45000E+02
 8.75765E+02	 6.23000E+02
 8.78246E+02	 6.73000E+02
 8.80725E+02	 6.54000E+02
 8.83204E+02	 6.51000E+02
 8.85683E+02	 6.59000E+02
 8.88160E+02	 6.64000E+02
 8.90637E+02	 6.49000E+02
 8.93113E+02	 6.46000E+02
 8.95588E+02	 6.35000E+02
 8.98062E+02	 6.52000E+02
 9.00536E+02	 6.46000E+02
 9.03009E+02	 6.41000E+02
 9.05481E+02	 6.47000E+02
 9.07953E+02	 6.38000E+02
 9.10423E+02	 6.44000E+02
 9.12893E+02	 6.54000E+02
 9.15363E+02	 6.59000E+02
 9.17831E+02	 6.35000E+02
 9.20299E+02	 6.47000E+02
 9.22766E+02	 6.55000E+02
 9.25232E+02	 6.48000E+02
 9.27697E+02	 6.55000E+02
 9.30162E+02	 6.35000E+02
 9.32626E+02	 6.64000E+02
 9.35090E+02	 6.49000E+02
 9.37552E+02	 6.61000E+02
 9.40014E+02	 6.38000E+02
 9.42475E+02	 6.64000E+02
 9.44935E+02	 6.48000E+02
 9.47395E+02	 6.53000E+02
 9.49854E+02	 6.54000E+02
 9.52312E+02	 6.63000E+02
 9.54769E+02	 6.60000E+02
 9.57226E+02	 6.58000E+02
 9.59682E+02	 6.56000E+02
 9.62137E+02	 6.63000E+02
 9.64591E+02	 6.40000E+02
 9.67045E+02	 6.55000E+02
 9.69498E+02	 6.46000E+02
 9.71950E+02	 6.60000E+02
 9.74401E+02	 6.53000E+02
 9.76852E+02	 6.70000E+02
 9.79302E+02	 6.52000E+02
 9.81751E+02	 6.60000E+02
 9.84200E+02	 6.54000E+02
 9.86648E+02	 6.60000E+02
 9.89095E+02	 6.79000E+02
 9.91541E+02	 6.55000E+02
 9.93987E+02	 6.71000E+02
 9.96432E+02	 6.67000E+02
 9.98876E+02	 6.64000E+02
 1.00132E+03	 6.60000E+02
 1.00376E+03	 6.82000E+02
 1.00620E+03	 6.64000E+02
 1.00864E+03	 6.63000E+02
 1.01109E+03	 6.49000E+02
 1.01353E+03	 6.80000E+02
 1.01596E+03	 6.69000E+02
 1.01840E+03	 6.76000E+02
 1.02084E+03	 6.81000E+02
 1.02328E+03	 6.58000E+02
 1.02571E+03	 6.75000E+02
 1.02815E+03	 6.61000E+02
 1.03058E+03	 6.58000E+02
 1.03302E+03	 6.73000E+02
 1.03545E+03	 6.69000E+02
 1.03788E+03	 6.84000E+02
 1.04031E+03	 6.79000E+02
 1.04275E+03	 6.71000E+02
 1.04518E+03	 6.74000E+02
 1.04761E+03	 6.73000E+02
 1.05003E+03	 6.93000E+02
 1.05246E+03	 6.67000E+02
 1.05489E+03	 6.99000E+02
 1.05732E+03	 6.92000E+02
 1.05974E+03	 6.83000E+02
 1.06217E+03	 6.94000E+02
 1.06459E+03	 6.86000E+02
 1.06702E+03	 7.01000E+02
 1.06944E+03	 6.94000E+02
 1.07186E+03	 6.96000E+02
 1.07428E+03	 6.99000E+02
 1.07670E+03	 7.08000E+02
 1.07912E+03	 7.09000E+02
 1.08154E+03	 6.95000E+02
 1.08396E+03	 7.09000E+02
 1.08638E+03	 7.16000E+02
 1.08880E+03	 7.05000E+02
 1.09121E+03	 7.14000E+02
 1.09363E+03	 7.04000E+02
 1.09605E+03	 7.26000E+02
 1.09846E+03	 7.20000E+02
 1.10087E+03	 7.13000E+02
 1.10329E+03	 7.10000E+02
 1.10570E+03	 7.24000E+02
 1.10811E+03	 7.15000E+02
 1.11052E+03	 7.11000E+02
 1.11293E+03	 6.99000E+02
 1.11534E+03	 7.00000E+02
 1.11775E+03	 7.19000E+02
 1.12016E+03	 6.94000E+02
 1.12257E+03	 7.11000E+02
 1.12497E+03	 7.05000E+02
 1.12738E+03	 7.00000E+02
 1.12978E+03	 6.99000E+02
 1.13219E+03	 6.95000E+02
 1.13459E+03	 6.87000E+02
 1.13700E+03	 6.80000E+02
 1.13940E+03	 6.70000E+02
 1.14180E+03	 6.60000E+02
 1.14420E+03	 6.66000E+02
